feature,importance_mean
texture_se,-0.016666666666666607
symmetry_mean,-0.008333333333333299
radius_se,-0.008333333333333299
area_se,-0.005952380952380931
smoothness_mean,0.001190476190476214
compactness_mean,0.0011904761904762196
concavity_mean,0.002380952380952406
perimeter_mean,0.0154761904761905
perimeter_worst,0.01547619047619051
smoothness_worst,0.01547619047619051
radius_mean,0.01666666666666669
fractal_dimension_mean,0.021428571428571453
radius_worst,0.02500000000000004
concavity_worst,0.027380952380952416
texture_worst,0.0440476190476191
